Case ID,Task Name,Event Type,Resource,Date,Time
1,File Fine,Completed,Anne,20-07-2004,14:00:00
2,File Fine,Completed,Anne,20-07-2004,15:00:00
1,Send Bill,Completed,system,20-07-2004,15:05:00
2,Send Bill,Completed,system,20-07-2004,15:07:00
3,File Fine,Completed,Anne,21-07-2004,10:00:00
3,Send Bill,Completed,system,21-07-2004,14:00:00
4,File Fine,Completed,Anne,22-07-2004,11:00:00
4,Send Bill,Completed,system,22-07-2004,11:10:00
1,Process Payment,Completed,system,24-07-2004,15:05:00
1,Close Case,Completed,system,24-07-2004,15:06:00
2,Send Reminder,Completed,Mary,20-08-2004,10:00:00
3,Send Reminder,Completed,John,21-08-2004,10:00:00
2,Process Payment,Completed,system,22-08-2004,9:05:00
2,Close case,Completed,system,22-08-2004,9:06:00
4,Send Reminder,Completed,John,22-08-2004,15:10:00
4,Send Reminder,Completed,Mary,22-08-2004,17:10:00
4,Process Payment,Completed,system,29-08-2004,14:01:00
4,Close Case,Completed,system,29-08-2004,17:30:00
3,Send Reminder,Completed,John,21-09-2004,10:00:00
3,Send Reminder,Completed,John,21-10-2004,10:00:00
3,Process Payment,Completed,system,25-10-2004,14:00:00
3,Close Case,Completed,system,25-10-2004,14:01:00
